1	1000	10	185960[ms]
NEW	1	1000	2.0E-4	2716[ms]
NEW	1	1000	2.0E-4	2393[ms]
NEW	1	1000	2.0E-4	2760[ms]
NEW	1	1000	2.0E-4	2551[ms]
NEW	1	1000	2.0E-4	2463[ms]
NEW	1	1000	2.0E-4	2544[ms]
NEW	1	1000	2.0E-4	2409[ms]
NEW	1	1000	2.0E-4	2588[ms]
NEW	1	1000	2.0E-4	2244[ms]
NEW	1	1000	2.0E-4	2516[ms]
NEW	1	1000	2.0E-4	2193[ms]
NEW	1	1000	2.0E-4	2605[ms]
NEW	1	1000	2.0E-4	2435[ms]
NEW	1	1000	2.0E-4	2151[ms]
NEW	1	1000	2.0E-4	2600[ms]
NEW	1	1000	2.0E-4	2180[ms]
NEW	1	1000	2.0E-4	2764[ms]
NEW	1	1000	2.0E-4	2850[ms]
NEW	1	1000	2.0E-4	2438[ms]
NEW	1	1000	2.0E-4	2364[ms]
NEW	1	1000	2.0E-4	2607[ms]
NEW	1	1000	2.0E-4	2490[ms]
NEW	1	1000	2.0E-4	2388[ms]
NEW	1	1000	2.0E-4	2313[ms]
NEW	1	1000	2.0E-4	2725[ms]
NEW	1	1000	2.0E-4	2695[ms]
NEW	1	1000	2.0E-4	2384[ms]
NEW	1	1000	2.0E-4	2968[ms]
NEW	1	1000	2.0E-4	2235[ms]
NEW	1	1000	2.0E-4	2826[ms]
NEW	1	1000	2.0E-4	2637[ms]
NEW	1	1000	2.0E-4	2420[ms]
NEW	1	1000	2.0E-4	2681[ms]
NEW	1	1000	2.0E-4	2649[ms]
NEW	1	1000	2.0E-4	2706[ms]
NEW	1	1000	2.0E-4	2350[ms]
NEW	1	1000	2.0E-4	2370[ms]
NEW	1	1000	2.0E-4	2262[ms]
NEW	1	1000	2.0E-4	2571[ms]
NEW	1	1000	2.0E-4	2475[ms]
NEW	1	1000	2.0E-4	2447[ms]
NEW	1	1000	2.0E-4	2381[ms]
NEW	1	1000	2.0E-4	2640[ms]
NEW	1	1000	2.0E-4	2709[ms]
NEW	1	1000	2.0E-4	2180[ms]
NEW	1	1000	2.0E-4	2641[ms]
NEW	1	1000	2.0E-4	2287[ms]
NEW	1	1000	2.0E-4	2521[ms]
NEW	1	1000	2.0E-4	2753[ms]
NEW	1	1000	2.0E-4	2709[ms]
NEW	1	1000	2.0E-4	2364[ms]
NEW	1	1000	2.0E-4	2716[ms]
NEW	1	1000	2.0E-4	2287[ms]
NEW	1	1000	2.0E-4	2318[ms]
NEW	1	1000	2.0E-4	2665[ms]
NEW	1	1000	2.0E-4	2557[ms]
NEW	1	1000	2.0E-4	2434[ms]
NEW	1	1000	2.0E-4	2479[ms]
NEW	1	1000	2.0E-4	2326[ms]
NEW	1	1000	2.0E-4	2445[ms]
NEW	1	1000	2.0E-4	2347[ms]
NEW	1	1000	2.0E-4	2930[ms]
NEW	1	1000	2.0E-4	2325[ms]
NEW	1	1000	2.0E-4	2408[ms]
NEW	1	1000	2.0E-4	2698[ms]
NEW	1	1000	2.0E-4	2407[ms]
NEW	1	1000	2.0E-4	3331[ms]
NEW	1	1000	2.0E-4	2694[ms]
NEW	1	1000	2.0E-4	2761[ms]
NEW	1	1000	2.0E-4	2868[ms]
NEW	1	1000	2.0E-4	2088[ms]
NEW	1	1000	2.0E-4	2330[ms]
NEW	1	1000	2.0E-4	2437[ms]
NEW	1	1000	2.0E-4	2961[ms]
NEW	1	1000	2.0E-4	2489[ms]
NEW	1	1000	2.0E-4	2741[ms]
NEW	1	1000	2.0E-4	2801[ms]
NEW	1	1000	2.0E-4	2591[ms]
NEW	1	1000	2.0E-4	2312[ms]
NEW	1	1000	2.0E-4	2550[ms]
NEW	1	1000	2.0E-4	2729[ms]
NEW	1	1000	2.0E-4	2709[ms]
NEW	1	1000	2.0E-4	2728[ms]
NEW	1	1000	2.0E-4	2126[ms]
NEW	1	1000	2.0E-4	2324[ms]
NEW	1	1000	2.0E-4	2797[ms]
NEW	1	1000	2.0E-4	2668[ms]
NEW	1	1000	2.0E-4	2713[ms]
NEW	1	1000	2.0E-4	2833[ms]
NEW	1	1000	2.0E-4	2773[ms]
NEW	1	1000	2.0E-4	2206[ms]
NEW	1	1000	2.0E-4	2566[ms]
NEW	1	1000	2.0E-4	2362[ms]
NEW	1	1000	2.0E-4	2380[ms]
